ID;Nom;Image;Acteur 1;Acteur 2;Année;Synopsis
14;KINGSMAN SERVICES SECRETS;kingsman.jpg;Taron Egerton;Colin Firth;2015;Harry Hart est un agent spécial de 'Kingsman', l'élite très élégante du renseignement indépendant britannique. Alors que la société secrète recherche de nouvelles recrues, Hart s'intéresse à Eggsy, un jeune homme effronté de la banlieue londonienne. Stupéfié par les talents de l'espion en costumes trois pièces, le garçon accepte de subir l'entraînement intensif réservé aux jeunes privilégiés qui rêvent de devenir agent secret.
15;LA LA LAND;la-la-land.jpg;Emma Stone;Ryan Gosling;2016;Au coeur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre des auditions. De son côté, Sebastian, passionné de jazz, joue du piano dans des clubs miteux pour assurer sa subsistance. Tous deux sont bien loin de la vie rêvée à laquelle ils aspirent, mais ils développent des sentiments amoureux l'un pour l'autre.
16;LA LIGNE VERTE;la-ligne-verte.png;Tom Hanks;Michael Clarke Duncan;1999;Paul Edgecomb, pensionnaire centenaire d'une maison de retraite, est hanté par ses souvenirs. Gardien-chef du pénitencier de Cold Mountain, en 1935, en Louisiane, il était chargé de veiller au bon déroulement des exécutions capitales au bloc E (la ligne verte) en s'efforçant d'adoucir les derniers moments des condamnés. Parmi eux se trouvait un colosse du nom de John Coffey, accusé du viol et du meurtre de deux fillettes.
17;LE CHÂTEAU AMBULANT;le-chateau-ambulant.jpg;Takuya Kimura;Emily Mortimer;2004;Sophie, une orpheline de 18 ans, travaille dur dans la boutique de chapelier que lui a laissée son père. Un jour, en ville, elle croise Hauru, un magicien très séduisant mais faible de caractère. Une sorcière, se méprenant sur leurs sentiments, change Sophie en une vieille femme de 90 ans. Désespérée, Sophie erre dans la campagne quand elle aperçoit un étrange château qui se déplace sur d'immenses pattes.
18;LE ROI LION;le-roi-lion.png;Matthew Broderick;Jeremy Irons;1994;Le fils du roi des animaux vient de naître. Son oncle est jaloux car il aimerait lui aussi régner. Il invente une ruse qui aboutira sur la mort du roi. Le jeune fils, Simba, témoin de la mort de son père, et s'en croyant responsable, va fuir sa horde.
19;LE SEIGNEUR DES ANNEAUX LE RETOUR DU ROI;le-seigneur-des-anneaux.png;Elijah Wood;Viggo Mortensen;2003;Les armées de Sauron ont attaqué `Minas Tirith', la capitale de `Gondor'. Jamais ce royaume autrefois puissant n'a eu autant besoin de son roi. Cependant, Aragorn trouvera-t-il en lui la volonté d'accomplir sa destinée ? Tandis que Gandalf s'efforce de soutenir les forces brisées de Gondor, Théoden exhorte les guerriers de Rohan à se joindre au combat. Cependant, malgré leur courage et leur loyauté, les forces des Hommes ne sont pas de taille à lutter contre les innombrables légions d'ennemis.
20;LE VOYAGE DE CHIHIRO;le-voyage-de-chihiro.jpg;Miyu Irino;Peng Yuchang;2002;La petite Chihiro accompagne ses parents dans une promenade sylvestre qui doit les conduire vers leur nouvelle maison en banlieue. Alors qu'elle prend un raccourci à travers un tunnel peu emprunté, la petite famille se retrouve soudain en territoire inconnu. Le temps de retrouver leur chemin, ils font une halte dans un gigantesque restaurant en plein air, totalement déserté.
21;PIRATES DES CARAÏBES LA MALÉDICTION DU BLACK PEARL;pirates-des-caraibes.png;Johnny Depp;Orlando Bloom;2003;Petite, Elizabeth Swann, la fille du gouverneur, a sauvé de la noyade Will Turner après le naufrage de son bateau. Les années ont passé, Will et Elizabeth ont grandi. Will est devenu forgeron à Port Royal, et Elizabeth se prépare à épouser le commodore Norrington. Cependant, la vie d'Elizabeth bascule lorsque le capitaine Barbossa et sa bande de pirates décident d'attaquer Port Royal et la prennent en otage. Malheureusement pour lui, Barbossa a commis deux erreurs.
22;PRINCESSE MONONOKÉ;princesse-mononoke.jpg;Yōji Matsuda;Yuriko Ishida;1997;Ashitaka, un jeune guerrier japonais, affronte un sanglier géant et furieux qui attaque son village. Il tue la bête, mais se retrouve atteint par un mal mystérieux. Sur le conseil des sages, il part vers l'Ouest, à la recherche de ce qui a transformé l'animal en démon. Au cours de son périple, il rencontre San, une jeune fille qui vit avec les loups. Ashitaka apprend que les humains sont à l'origine de tous ces maux, car ils détruisent la forêt, qu'ils exploitent pour alimenter leurs forges.
23;PULP FICTION;pulp-fiction.png;Uma Thurman;John Travolta;1994;L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent. Dans un restaurant, un couple de jeunes braqueurs, Pumpkin et Yolanda, discutent des risques que comporte leur activité. Deux truands, Jules Winnfield et son ami Vincent Vega, qui revient d'Amsterdam, ont pour mission de récupérer une mallette au contenu mystérieux et de la rapporter à Marsellus Wallace.
24;READY PLAYER ONE;ready-player-one.jpeg;Olivia Cooke;Tye Sheridan;2018;En 2045, le monde est au bord du chaos. Les êtres humains se réfugient dans l'OASIS, univers virtuel mis au point par le brillant et excentrique James Halliday. Avant de disparaître, celui-ci a décidé de léguer son immense fortune à quiconque découvrira l'oeuf de Pâques numérique qu'il a pris soin de dissimuler dans l'OASIS. L'appât du gain provoque une compétition planétaire.
25;RETOUR VERS LE FUTUR;retour-vers-le-futur.png;Michael J.Fox;Christopher Lloyd;1985;Le jeune Marty McFly mène une existence anonyme, auprès de sa petite amie Jennifer, seulement troublée par sa famille en crise et un proviseur qui serait ravi de l'expulser du lycée. Ami de l'excentrique professeur Emmett Brown, il l'accompagne tester sa nouvelle expérience : le voyage dans le temps via une DeLorean modifiée. La démonstration tourne mal : des trafiquants d'armes débarquent et assassinent le scientifique.
26;SHINING;shining.jpg;Jack Nicholson;Shelley Duvall;1980;Jack Torrance, gardien d'un hôtel fermé l'hiver, sa femme et son fils Danny s'apprêtent à vivre de longs mois de solitude. Danny, qui possède un don de médium, le Shining, est effrayé à l'idée d'habiter ce lieu, théâtre marqué par de terribles évènements passés...
27;SHUTTER ISLAND;shutter-island.jpg;Leonardo Di Caprio;Mark Ruffalo;2010;En 1954, une meurtrière, extrêmement dangereuse, placée en centre de détention psychiatrique disparaît sur l'île de Shutter Island. Deux officiers du corps fédéral des marshals, Teddy Daniels et Chuck Aule, sont envoyés sur place pour enquêter. Très vite, Teddy Daniels comprend que le personnel de l'établissement cache quelque chose. Seul indice dont il dispose : un bout de papier sur lequel est griffonnée une suite de chiffres entrecoupée de lettres.
28;STAR WARS LA REVANCHE DES SITH;star-wars.png;Hayden Christensen;Ewan McGregor;2005;La Guerre des Clones fait rage. Une franche hostilité oppose désormais le Chancelier Palpatine au Conseil Jedi. Anakin Skywalker, jeune Chevalier Jedi pris entre deux feux, hésite sur la conduite à tenir. Séduit par la promesse d'un pouvoir sans précédent, tenté par le côté obscur de la Force, il prête allégeance au maléfique Darth Sidious et devient Dark Vador.Les Seigneurs Sith s'unissent alors pour préparer leur revanche, qui commence par l'extermination des Jedi.
29;THE TRUMAN SHOW;the-truman-show.png;Jim Carrey;Laura Linney;1998;Truman Burbank mène une vie calme et heureuse. Il habite dans un petit pavillon propret de la radieuse station balnéaire de Seahaven.
30;TOY STORY;toy-story.jpg;Richard Darbois;Jean-Philippe Puymartin;1996;Woody, le cow-boy à la démarche déhanchée, reste le jouet préféré d'Andy, même si aujourd'hui Buzz partage cette amitié. Toujours chef de bande, Woody protège et rassure tous les jouets de la chambre. Kidnappé par un collectionneur sans scrupules, Woody va découvrir qu'il fut jadis une vraie star. Après maintes péripéties, il va être confronté à la décision la plus importante de sa vie : rentrer chez lui pour retrouver Andy et les jouets ou rester pour devenir une pièce rare de musée.
31;WHIPLASH;whiplash.jpg;J.K. Simmons;Miles Teller;2014;Ambitieux et perfectionniste, Andrew, 19 ans, rêve de devenir le meilleur batteur de jazz de sa génération. Élève au conservatoire de Manhattan, il serait prêt à tout donner, comme beaucoup de ses camarades, pour intégrer le cours d'orchestre de Terence Fletcher, professeur tyrannique célèbre pour son amour de la perfection musicale. Par chance, lors d'une répétition, Fletcher remarque Andrew et son talent encore brut.
32;YOUR NAME;your-name.jpg;Taki Tachibana;Mitsuha Miyamizu;2016;Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d'imaginer pouvoir vivre l'aventure urbaine dans la peau de... Taki, un jeune lycéen vivant à Tokyo. À travers ses rêves, Mitsuha se voit littéralement propulsée dans la vie du jeune garçon. Quel mystère se cache derrière ces rêves étranges qui unissent deux destinées que tout oppose et qui ne se sont jamais rencontrées ?
